id,kind,title,authors,year,role,domains,doi,url,access,importance,evidence_note,connections
paper-pekel-2016-gsw,paper,High-resolution mapping of global surface water and its long-term changes,Jean-François Pekel; Andrew Cottam; Noel Gorelick; Alan S. Belward,2016,seminal; foundational; benchmark,surface_water; earth_observation,10.1038/nature20584,https://www.nature.com/articles/nature20584,publisher_page,Foundational global surface-water mapping reference; establishes a long temporal Landsat baseline and the JRC Global Surface Water product.,Direct EO observation of surface-water occurrence/change; must not be generalized to groundwater presence.,dataset-jrc-gsw-v1-4; dataset-landsat-c2-sr
paper-groundwater-validation-review-2024,paper,Analysis of methods used to validate remote sensing and GIS-based groundwater potential maps in the last two decades: A review,,2024,review; methodological,groundwater_potential; hydrogeology; remote_sensing; gis,10.1016/j.geogeo.2023.100245,https://doi.org/10.1016/j.geogeo.2023.100245,open_access,Reviews 125 studies and makes validation quality a central issue; field data reflecting aquifer productivity are preferable validation evidence.,Groundwater-potential maps are indirect inference products and require field/hydrogeologic validation.,concept-groundwater-potential; concept-field-validation
paper-groundwater-ml-review-2026,paper,Groundwater Potential Mapping Using Machine Learning Techniques: Current Trends and Future Perspectives,,2026,review; state_of_the_art,groundwater_potential; machine_learning; gis; remote_sensing,,https://www.mdpi.com/2073-4441/18/8/947,open_access,"Recent synthesis emphasizing explainability, uncertainty, multi-source integration and transferability as research gaps.",Useful state-of-the-art map; quality depends on validation and regional transfer.,concept-groundwater-potential; concept-xai; concept-uncertainty
paper-kle-pinn-groundwater-2024,paper,Groundwater inverse modeling: Physics-informed neural network with disentangled constraints and errors,Yuzhe Ji; Yuanyuan Zha; Tian-Chyi J. Yeh; Liangsheng Shi; Yanling Wang,2024,methodological; state_of_the_art,groundwater; pinns; inverse_problems; hydrogeology,,https://www.sciencedirect.com/science/article/pii/S0022169424010990,publisher_page,Concrete physics-informed inverse-modeling route: estimates hydraulic conductivity using a PINN plus Karhunen–Loève expansion.,"Physics-informed inference concerns subsurface flow/parameters, not direct satellite detection of groundwater.",concept-pinn; concept-groundwater-flow; concept-hydraulic-conductivity
paper-geothermal-rs-review-2014,paper,Geologic remote sensing for geothermal exploration: A review,Freek van der Meer; Christoph Hecker; Frank van Ruitenbeek; Harald van der Werff; Charlotte de Wijkerslooth; Carolina Wechsler,2014,foundational; review,geothermal; remote_sensing; geology,10.1016/j.jag.2014.05.007,https://www.sciencedirect.com/science/article/abs/pii/S0303243414001275,publisher_page,"Foundational review connecting SWIR alteration mineralogy, TIR temperature/heat flux and InSAR deformation with geothermal exploration.","Remote-sensing observables are exploration evidence/proxies, not reservoir confirmation.",concept-geothermal-prospectivity; concept-swir; concept-tir; concept-insar
paper-geothermal-ml-review-2023,paper,Advances in geothermal energy prospectivity mapping research based on machine learning in the age of big data,Yongyi Li; Ghaffar Ali; Abdul Rehman Akbar,2023,review; methodological,geothermal; machine_learning; gis,10.1016/j.seta.2023.103550,https://www.sciencedirect.com/science/article/pii/S221313882300543X,publisher_page,Maps the transition from conventional prospectivity mapping to ML-enhanced play fairway analysis.,Useful methodology bridge from expert weighting to data-driven models.,concept-geothermal-prospectivity; concept-play-fairway-analysis; concept-machine-learning
paper-geothermal-review-2026,paper,"Review on geothermal prospectivity mapping: Global trends, challenges, and future directions",Ahmad Ibrahim Aliyu; Haylay Tsegab Gebretsadik; James Olosegbuwa Egbokhare; Mushtaq Ahmad; Abdulrasheed Ibrahim Yerima; Asmau Iyabo Balogun,2026,review; state_of_the_art,geothermal; machine_learning; xai; uncertainty,10.1016/j.rser.2026.117164,https://www.sciencedirect.com/science/article/pii/S1364032126004636,publisher_page,"Current global review (~100 studies); highlights hybrid expert+statistical+ensemble approaches, XAI and uncertainty as frontier issues.",Strong frontier anchor for research gaps and validation design.,paper-geothermal-ml-review-2023; concept-xai; concept-uncertainty; concept-geothermal-prospectivity
paper-geothermal-tir-review-2024,paper,Advances in Thermal Infrared Remote Sensing Technology for Geothermal Resource Detection,,2024,review; methodological,geothermal; thermal_infrared; remote_sensing,10.3390/rs16101690,https://www.mdpi.com/2072-4292/16/10/1690,open_access,"Modern TIR-focused review; stresses integration with geology, geophysics and geochemistry.",Thermal anomalies are surface evidence and require target-specific corroboration.,concept-tir; concept-geothermal-prospectivity
paper-geothermal-early-ml-2026,paper,"Early-phase geothermal prospecting using remote sensing and machine learning: application to Buharkent and Germencik fields, Türkiye",Hakan Oktay Aydınlı; Gordana Kaplan; Saye Nihan Çabuk,2026,application; state_of_the_art,geothermal; remote_sensing; machine_learning,10.1016/j.geothermics.2026.103603,https://www.sciencedirect.com/science/article/abs/pii/S0375650526000088,publisher_page,"Recent application using LST, lineament density, hydrothermal alteration, K-means and Random Forest in mature geothermal fields.","Supports remote sensing as an early exploration/support tool, not standalone reservoir proof.",concept-lst; concept-lineaments; concept-hydrothermal-alteration; concept-geothermal-prospectivity
paper-geothermal-ai-2022,paper,The Geothermal Artificial Intelligence for geothermal exploration,,2022,methodological; application,geothermal; ai; remote_sensing; geophysics,10.1016/j.renene.2022.04.113,https://www.sciencedirect.com/science/article/pii/S096014812200581X,publisher_page,Integrates geological/geophysical information and remote-sensing indicators in an AI geothermal exploration framework.,Representative hybrid data-fusion direction.,concept-geothermal-prospectivity; concept-machine-learning; concept-geophysics
